id,description,exemple 1,exemple 2,catégorie,étudiant,equipe sem1
festivals-et-celebrations,Capture de l'essence des festivités culturelles.,Les lanternes du festival de la lune.,Danses traditionnelles lors d'une fête nationale.,Culture & Tradition,,
photos-en-sepia,Rappel du passé et de la nostalgie.,Un vieux pont de pierre.,Portrait d'une grand-mère assise dans sa maison.,Historique & Temporel,,
mouvements-dynamiques,Étude du mouvement et de l'énergie.,Un skateboarder en train d'exécuter une figure.,Un danseur de rue en pleine action.,Sport & Action,,
portraits-d-expression,Capturer et transmettre des émotions.,Portrait d'une personne riant aux éclats.,Portrait d'une personne en larmes.,Emotionnel,,
futur-urbain,Visualisation d'avenirs technologiques possibles.,Gratte-ciels avec voitures volantes.,Une ville sous un dôme protecteur.,Futuriste & Sci-fi,,
art-cinetique,Étude de l'art qui inclut le mouvement comme élément principal.,Sculpture mobile suspendue.,Image d'une installation d'art cinétique interactive.,Conceptuel,AldricB,1
formes-architecturales,Étudier les designs et les formes des bâtiments.,Gros plan d'une structure en spirale moderne.,Silhouette d'un gratte-ciel futuriste.,Urbanisme & Architecture,AldricB,1
paysages-grandioses,Mettre en évidence la beauté de la nature.,Vue panoramique d'une chaîne de montagnes.,Cascade gigantesque entourée de jungle luxuriante.,Animaux & Nature,AldricB,1
portraits-d-athletes,Mettre en évidence la détermination et le dévouement.,Portrait d'un coureur épuisé après la course.,Gymnaste se concentrant avant sa performance.,Sports & Action,AldricB,1
astrophotographie,Capture des merveilles du ciel nocturne.,La Voie lactée depuis un désert.,Une éclipse lunaire.,Nature & Faune,AndyB,1
juxtapositions,Combinaison d'éléments inattendus pour un effet visuel.,Un objet moderne dans un cadre ancien.,Un élément coloré dans un environnement monochrome.,Abstrait & Formes,AndyB,1
images-360,"Explorer la photographie immersive
",Visite virtuelle d'une maison à vendre.,Image 360° d'une attraction touristique.,Interactif,AndyB,1
reflexions-sur-l-objet,Examiner la manière dont les objets sont perçus hors de leur contexte habituel.,Une fourchette pliée en sculpture.,Chaussure suspendue comme un mobile.,Conceptuel,AndyB,1
ambiguites-visuelles,Images qui peuvent être interprétées de différentes manières.,Le vase/faces de Rubin.,L'image de la vieille/jeune femme.,Conceptuel,AnthonnyL,6
storyboards-de-films,Visualiser la séquence d'un récit.,Séquence d'une poursuite de film d'action.,Séquence d'une scène romantique.,Narratif,AnthonnyL,6
gastronomie-mondiale,Exploration visuelle de plats et de cuisines de différentes cultures.,Close-up d'un sushi.,Une femme préparant des tortillas à la main.,Culture & Tradition,AnthonnyL,6
explorations-souterraines,Documenter le monde sous la surface.,Intérieur d'une vaste grotte calcaire.,Tunnel étroit d'une mine abandonnée.,Nature & Exploration,AnthonnyL,6
faune-rare,Observer des espèces moins communes.,Animal endémique d'une région spécifique.,Gros plan d'un insecte rare.,Nature & Environnement,CamilleC,3
photographie-minimaliste,Concentration sur un sujet avec un arrière-plan épuré pour renforcer le message.,Une chaise solitaire sur une plage.,Un ballon flottant dans un ciel bleu clair.,Composition & Style,CamilleC,3
bokeh-creatif,Utilisation du flou pour créer des formes et motifs.,Lumières de la ville formant des cœurs flous.,Étoiles Bokeh autour d'une bougie allumée.,Techniques Expérimentales,CamilleC,3
iconographie-religieuse,Explorer comment les images sont utilisées pour exprimer la spiritualité.,Une icône byzantine de Saint.,Peinture murale d'un dieu hindou.,Culturel,CamilleC,3
changement-climatique,Documentation des effets du changement climatique.,Glacier en fonte.,Forêt brûlée par un incendie.,Environnement & Social,ClementB,2
bande-dessinee,Narration séquentielle par images.,Une page d'une bande dessinée expérimentale.,Strips humoristiques d'un quotidien.,Narratif,ClementB,2
longue-exposition,Explorer le temps et le mouvement.,Voitures en mouvement sur une autoroute la nuit.,Ciel étoilé avec traces d'étoiles.,Art & Technique,ClementB,2
illustrations-folkloriques,Découverte des mythes et légendes à travers le visuel.,Dessin d'une créature mythique européenne.,Peinture d'une légende asiatique.,Culturel,ClementB,2
festivals-du-monde,Découverte des traditions et célébrations mondiales.,Diwali en Inde.,"Carnaval de Hochelaga-maisoneuve
",Culturel,DaphneG,4
cinemagraph,Mélange de photo et vidéo pour une image animée.,Fontaine où seule l'eau bouge.,Visage où seuls les yeux clignent.,Art & Technique,DaphneG,4
